100,114.025,0.230096
63.0957,104.05,0.248416
39.8105,94.8167,0.254134
25.1188,87.1341,0.255725
15.849,80.6707,0.25613
10.0001,75.1625,0.257148
6.30957,70.3594,0.258831
3.98105,66.4989,0.263166
2.51189,63.0389,0.268554
1.5849,59.9497,0.275681
1,58.3938,0.290665
0.630957,56.1203,0.303903
0.398107,53.8758,0.317107
0.251189,52.3336,0.33943
0.15849,51.3526,0.363572
0.1,48.9292,0.383334
0.0630957,47.5993,0.415816
0.0398107,46.509,0.454197
0.0251189,45.3238,0.493227
0.015849,43.6669,0.531285
0.01,42.2905,0.573235
0.00631,41.7101,0.639401
0.00398,38.9957,0.648172
0.00251,35.2672,0.687982
0.00158,31.4508,0.695062
0.001,31.4875,0.752044
